1,SMITH,2442977,0.709,0.2311,0.005,0.0089,0.0219,0.024
2,JOHNSON,1932812,0.5897,0.3463,0.0054,0.0094,0.0256,0.0236
3,WILLIAMS,1625252,0.4575,0.4768,0.0046,0.0082,0.0281,0.0249
4,BROWN,1437026,0.5795,0.356,0.0051,0.0087,0.0255,0.0252
5,JONES,1425470,0.5519,0.3848,0.0044,0.01,0.0261,0.0229
6,GARCIA,1166120,0.0538,0.0045,0.0141,0.0047,0.0026,0.9203
7,MILLER,1161437,0.8411,0.1076,0.0054,0.0066,0.0177,0.0217
8,DAVIS,1116357,0.622,0.316,0.0049,0.0082,0.0245,0.0244
9,RODRIGUEZ,1094924,0.0475,0.0054,0.0057,0.0018,0.0018,0.9377
10,MARTINEZ,1060159,0.0528,0.0049,0.006,0.0051,0.0022,0.9291
11,HERNANDEZ,1043281,0.0379,0.0036,0.006,0.0019,0.0016,0.9489
12,LOPEZ,874523,0.0486,0.0057,0.0102,0.0038,0.0025,0.9292
13,GONZALEZ,841025,0.0403,0.0035,0.0038,0.0014,0.0013,0.9497
14,WILSON,801882,0.6736,0.2599,0.006,0.0106,0.0238,0.0261
15,ANDERSON,784404,0.7517,0.1893,0.0061,0.0074,0.0211,0.0244
16,THOMAS,756142,0.5263,0.3875,0.0244,0.0107,0.0258,0.0254
17,TAYLOR,751209,0.6538,0.2842,0.0056,0.0076,0.0241,0.0246
18,MOORE,724374,0.6641,0.2774,0.0048,0.0068,0.0234,0.0234
19,JACKSON,708099,0.3989,0.5304,0.0039,0.0106,0.0312,0.025
20,MARTIN,702625,0.748,0.1576,0.009,0.0098,0.0202,0.0556
21,LEE,693023,0.3595,0.1633,0.4222,0.0097,0.0264,0.0189
22,PEREZ,681645,0.0496,0.0045,0.0117,0.002,0.0026,0.9295
23,THOMPSON,664644,0.6978,0.2357,0.0057,0.0122,0.0237,0.0249
24,WHITE,660491,0.6551,0.2817,0.0049,0.0107,0.0238,0.0238
25,HARRIS,624252,0.514,0.4239,0.0047,0.0067,0.028,0.0226
26,SANCHEZ,612752,0.0498,0.0045,0.0096,0.0037,0.0024,0.9299
27,CLARK,562679,0.7465,0.1902,0.0054,0.0101,0.0219,0.0258
28,RAMIREZ,557423,0.0389,0.0031,0.0093,0.002,0.0019,0.9448
29,LEWIS,531781,0.5823,0.3484,0.0056,0.012,0.0258,0.0258
30,ROBINSON,529821,0.487,0.4493,0.0046,0.0053,0.0277,0.0261
31,WALKER,523129,0.5866,0.3505,0.0045,0.0087,0.0255,0.0241
32,YOUNG,484447,0.6626,0.2467,0.0303,0.0079,0.0266,0.0258
33,ALLEN,482607,0.6759,0.2617,0.0054,0.0086,0.0238,0.0247
34,KING,465422,0.7016,0.2276,0.0123,0.0098,0.0231,0.0255
35,WRIGHT,458980,0.658,0.2823,0.0051,0.0069,0.0241,0.0236
36,SCOTT,439530,0.6021,0.3292,0.0051,0.0118,0.0259,0.0258
37,TORRES,437813,0.0535,0.0057,0.0143,0.002,0.0028,0.9216
38,NGUYEN,437645,0.0095,0.0012,0.9645,0.0003,0.0183,0.0063
39,HILL,434827,0.6436,0.2912,0.0053,0.0097,0.0251,0.0251
40,FLORES,433969,0.0487,0.0042,0.0208,0.0034,0.0036,0.9194
41,GREEN,430182,0.5684,0.3697,0.0044,0.0064,0.0247,0.0264
42,ADAMS,427865,0.7402,0.199,0.0056,0.0079,0.0216,0.0257
43,NELSON,424958,0.7766,0.1597,0.0067,0.0116,0.02,0.0255
44,BAKER,419586,0.7983,0.1444,0.0056,0.0087,0.0202,0.0228
45,HALL,407076,0.7265,0.2159,0.0064,0.0065,0.0222,0.0225
